PLE Maps APPLICATION (PLEM)
v1: Tilman Hain; v2: Daniel Zuleeg; v3: Matthias Kastner, v4: Moritz Limbacher

Date of Measurement: 11.12.2024/07:33
User Name: the master of microscopy
File Name: I03

Spectrograph Settings
Slit Width (µm): 250.0
Grating: 500 blz 300l/mm
Filter: Empty
Central Wavelength (nm): 599.98

Detector Settings
Detector: CCD
Cooling Temperature (°C): -70
Exposure Time (s): 2.00
Horizontal Binning: 1x
Wavelength First Pixel (nm): 458.55
Wavelength Last Pixel (nm): 1024.00
Delta Wavelength (nm): 0.275

Nano Stage Settings
x-position: 124.400
y-position: 150.000
z-position: 160.000
switchUD: 1
switchLR: 1

Light Source Settings
NKT System: SuperK Varia (VIS)
Operation: 
Power Level: 0.0%
Short Wavelength (nm): 0
Long Wavelength (nm): 0

Background Measurement with Open Shutter
Readout Mode: Full Vertical Binning

Microscopy:
Laser Position  (x,y): (520,696)
magnification: 83.333


Power at Glass Plate (µW): 0.000000

WL           	BG           	PL           
 458.550	    1502	    1526
 458.828	    1512	    1533
 459.105	    1519	    1537
 459.383	    1537	    1551
 459.661	    1527	    1527
 459.938	    1503	    1538
 460.216	    1513	    1564
 460.494	    1509	    1520
 460.771	    1527	    1567
 461.049	    1523	    1548
 461.327	    1515	    1522
 461.604	    1525	    1551
 461.882	    1513	    1533
 462.160	    1536	    1540
 462.437	    1502	    1547
 462.715	    1528	    1539
 462.992	    1530	    1557
 463.270	    1493	    1526
 463.548	    1513	    1552
 463.825	    1525	    1559
 464.103	    1530	    1545
 464.381	    1535	    1520
 464.658	    1521	    1539
 464.936	    1516	    1543
 465.213	    1513	    1539
 465.491	    1510	    1538
 465.769	    1535	    1543
 466.046	    1513	    1535
 466.324	    1531	    1539
 466.601	    1514	    1529
 466.879	    1520	    1527
 467.157	    1538	    1568
 467.434	    1514	    1562
 467.712	    1526	    1551
 467.989	    1514	    1543
 468.267	    1521	    1547
 468.544	    1543	    1564
 468.822	    1523	    1533
 469.100	    1526	    1567
 469.377	    1521	    1546
 469.655	    1531	    1540
 469.932	    1515	    1543
 470.210	    1513	    1529
 470.487	    1548	    1561
 470.765	    1526	    1548
 471.043	    1510	    1534
 471.320	    1528	    1562
 471.598	    1536	    1536
 471.875	    1532	    1553
 472.153	    1524	    1558
 472.430	    1510	    1528
 472.708	    1530	    1534
 472.985	    1519	    1554
