PLE Maps APPLICATION (PLEM)
v1: Tilman Hain; v2: Daniel Zuleeg; v3: Matthias Kastner, v4: Moritz Limbacher

Date of Measurement: 03.09.2024/13:52
User Name: the master of microscopy
File Name: I01

Spectrograph Settings
Slit Width (µm): 200.0
Grating: 500 blz 300l/mm
Filter: Empty
Central Wavelength (nm): 599.98

Detector Settings
Detector: CCD
Cooling Temperature (°C): -70
Exposure Time (s): 2.00
Horizontal Binning: 1x
Wavelength First Pixel (nm): 458.55
Wavelength Last Pixel (nm): 1024.00
Delta Wavelength (nm): 0.275

Nano Stage Settings
x-position: 85.000
y-position: 50.000
z-position: 176.500
switchUD: 1
switchLR: 1

Light Source Settings
NKT System: SuperK Varia (VIS)
Operation: 
Power Level: 0.0%
Short Wavelength (nm): 0
Long Wavelength (nm): 0

Background Measurement with Open Shutter
Readout Mode: Full Vertical Binning

Microscopy:
Laser Position  (x,y): (0,0)
magnification: 83.333


Power at Glass Plate (µW): 0.000000

WL           	BG           	PL           
 458.550	    1517	    1497
 458.828	    1524	    1520
 459.105	    1515	    1515
 459.383	    1506	    1511
 459.661	    1518	    1516
 459.938	    1516	    1509
 460.216	    1511	    1507
 460.494	    1527	    1525
 460.771	    1509	    1510
 461.049	    1516	    1513
 461.327	    1521	    1500
 461.604	    1508	    1527
 461.882	    1523	    1516
 462.160	    1510	    1503
 462.437	    1518	    1523
 462.715	    1512	    1522
 462.992	    1529	    1525
 463.270	    1541	    1518
 463.548	    1499	    1497
 463.825	    1510	    1534
 464.103	    1528	    1515
 464.381	    1494	    1499
 464.658	    1530	    1506
 464.936	    1535	    1502
 465.213	    1501	    1513
 465.491	    1509	    1514
 465.769	    1505	    1522
 466.046	    1522	    1527
 466.324	    1515	    1503
 466.601	    1515	    1517
 466.879	    1526	    1517
 467.157	    1501	    1508
 467.434	    1538	    1511
 467.712	    1497	    1515
 467.989	    1532	    1528
 468.267	    1520	    1515
 468.544	    1512	    1519
 468.822	    1508	    1525
 469.100	    1522	    1518
 469.377	    1513	    1523
 469.655	    1511	    1501
 469.932	    1507	    1518
 470.210	    1526	    1533
 470.487	    1519	    1515
 470.765	    1521	    1519
 471.043	    1522	    1498
 471.320	    1523	    1506
 471.598	    1513	    1508
 471.875	    1495	    1523
 472.153	    1514	    1512
 472.430	    1530	    1515
 472.708	    1501	    1529
 472.985	    1527	    1522
 473.263	    1516	    1511
 473.540	    1518	    1539
 473.818	    1522	    1512
 474.095	    1516	    1513
 474.373	    1529	    1508
 474.651	    1533	    1517
 474.928	    1521	    1526
 475.206	    1509	    1531
 475.483	    1502	    1519
 475.761	    1525	    1494
 476.038	    1506	    1508
 476.316	    1524	    1514
 476.593	    1520	    1521
 476.871	    1522	    1508
 477.148	    1517	    1518
 477.426	    1514	    1496
 477.703	    1517	    1525
 477.981	    1523	    1519
 478.258	    1500	    1521
 478.535	    1509	    1519
 478.813	    1509	    1508
 479.090	    1524	    1519
 479.368	    1497	    1513
 479.645	    1525	    1509
 479.923	    1524	    1514
 480.200	    1507	    1517
 480.478	    1504	    1512
 480.755	    1518	    1515
 481.033	    1506	    1525
 481.310	    1533	    1509
 481.588	    1519	    1503
 481.865	    1510	    1510
 482.142	    1505	    1507
 482.420	    1516	    1502
 482.697	    1535	    1525
 482.975	    1520	    1504
 483.252	    1522	    1521
 483.530	    1503	    1515
 483.807	    1502	    1514
 484.085	    1527	    1508
 484.362	    1510	    1510
 484.639	    1515	    1506
 484.917	    1514	    1508
 485.194	    1498	    1515
 485.472	    1513	    1515
 485.749	    1519	    1497
 486.026	    1519	    1514
 486.304	    1519	    1514
 486.581	    1508	    1508
 486.859	    1511	    1521
 487.136	    1506	    1504
 487.413	    1536	    1501
 487.691	    1482	    1491
 487.968	    1512	    1496
 488.245	    1499	    1519
 488.523	    1510	    1504
 488.800	    1510	    1520
 489.078	    1514	    1521
 489.355	    1499	    1515
 489.632	    1518	    1502
 489.910	    1507	    1507
 490.187	    1516	    1513
 490.464	    1517	    1497
 490.742	    1498	    1496
 491.019	    1533	    1506
 491.296	    1484	    1511
 491.574	    1513	    1514
 491.851	    1516	    1511
 492.128	    1501	    1508
 492.406	    1528	    1518
 492.683	    1501	    1510
 492.960	    1498	    1517
 493.238	    1507	    1511
 493.515	    1519	    1506
 493.792	    1511	    1497
 494.070	    1515	    1503
 494.347	    1506	    1514
 494.624	    1524	    1509
 494.902	    1512	    1493
 495.179	    1513	    1517
 495.456	    1501	    1512
 495.733	    1509	    1506
 496.011	    1517	    1495
 496.288	    1494	    1500
 496.565	    1502	    1502
 496.843	    1508	    1517
 497.120	    1511	    1508
 497.397	    1522	    1490
 497.674	    1513	    1488
 497.952	    1517	    1528
 498.229	    1490	    1508
 498.506	    1492	    1510
 498.783	    1530	    1495
 499.061	    1505	    1506
 499.338	    1506	    1514
 499.615	    1505	    1504
 499.892	    1514	    1517
 500.170	    1521	    1499
 500.447	    1501	    1500
 500.724	    1508	    1514
 501.001	    1510	    1505
 501.279	    1503	    1522
