PLE Maps APPLICATION (PLEM)
v1: Tilman Hain; v2: Daniel Zuleeg; v3: Matthias Kastner, v4: Moritz Limbacher

Date of Measurement: 25.07.2025/10:25
User Name: the master of microscopy
File Name: HSI1

Spectrograph Settings
Slit Width (µm): 250.0
Grating: 1250 nm blaze
Filter: Empty
Central Wavelength (nm): 699.99

Detector Settings
Detector: CCD
Cooling Temperature (°C): -70
Exposure Time (s): 5.00
Horizontal Binning: 1x
Wavelength First Pixel (nm): 414.09
Wavelength Last Pixel (nm): 1024.00
Delta Wavelength (nm): 0.557

Nano Stage Settings
x-position: 170.000
y-position: 150.000
z-position: 130.000
switchUD: 1
switchLR: 1

Light Source Settings
NKT System: SuperK Varia (VIS)
Operation: 
Power Level: 0.0%
Short Wavelength (nm): 0
Long Wavelength (nm): 0

Background Measurement with Open Shutter
Readout Mode: Full Vertical Binning

Microscopy:
Laser Position  (x,y): (520,696)
magnification: 83.333


Power at Glass Plate (µW): 0.000044

WL           	BG           	PL           
 414.092	    1503	    1515
 414.653	    1508	    1505
 415.214	    1517	    1503
 415.774	    1514	    1515
 416.335	    1511	    1509
 416.896	    1506	    1508
 417.457	    1503	    1499
 418.017	    1503	    1508
 418.578	    1533	    1506
 419.139	    1495	    1497
 419.700	    1522	    1509
 420.260	    1505	    1498
 420.821	    1521	    1511
 421.382	    1511	    1489
 421.942	    1516	    1490
 422.503	    1504	    1516
 423.064	    1519	    1496
 423.625	    1494	    1504
 424.185	    1511	    1501
 424.746	    1519	    1505
 425.307	    1517	    1507
 425.867	    1513	    1503
 426.428	    1508	    1515
 426.989	    1523	    1501
 427.549	    1499	    1490
 428.110	    1515	    1504
 428.671	    1506	    1512
 429.232	    1507	    1501
 429.792	    1503	    1498
 430.353	    1514	    1498
 430.914	    1522	    1505
 431.474	    1492	    1502
 432.035	    1499	    1510
 432.596	    1517	    1513
 433.156	    1502	    1506
 433.717	    1530	    1529
 434.278	    1505	    1482
 434.838	    1517	    1500
 435.399	    1527	    1496
 435.960	    1501	    1532
 436.520	    1507	    1508
 437.081	    1519	    1514
 437.641	    1510	    1475
 438.202	    1507	    1494
 438.763	    1503	    1507
 439.323	    1516	    1494
 439.884	    1506	    1515
 440.445	    1501	    1506
 441.005	    1505	    1506
 441.566	    1513	    1512
 442.126	    1519	    1527
 442.687	    1510	    1483
 443.248	    1507	    1497
 443.808	    1514	    1517
 444.369	    1496	    1495
 444.929	    1515	    1499
 445.490	    1503	    1489
 446.051	    1501	    1514
 446.611	    1501	    1511
 447.172	    1509	    1502
 447.732	    1521	    1512
 448.293	    1492	    1504
 448.853	    1517	    1500
 449.414	    1507	    1512
 449.975	    1504	    1504
 450.535	    1520	    1506
 451.096	    1526	    1501
 451.656	    1500	    1499
 452.217	    1522	    1502
 452.777	    1518	    1503
 453.338	    1515	    1507
 453.898	    1498	    1500
 454.459	    1502	    1515
 455.019	    1529	    1517
 455.580	    1511	    1510
 456.140	    1520	    1514
 456.701	    1518	    1499
 457.261	    1504	    1505
 457.822	    1501	    1498
 458.382	    1504	    1517
 458.943	    1517	    1526
 459.503	    1497	    1481
 460.064	    1509	    1502
 460.624	    1507	    1494
 461.185	    1500	    1512
 461.745	    1511	    1492
 462.306	    1515	    1502
 462.866	    1512	    1505
 463.427	    1509	    1508
 463.987	    1506	    1510
 464.548	    1515	    1500
 465.108	    1510	    1504
 465.669	    1515	    1508
 466.229	    1525	    1496
 466.790	    1505	    1510
 467.350	    1517	    1518
 467.910	    1493	    1488
 468.471	    1511	    1512
 469.031	    1515	    1509
 469.592	    1503	    1510
 470.152	    1497	    1522
 470.713	    1508	    1489
 471.273	    1514	    1484
 471.833	    1513	    1496
 472.394	    1510	    1505
 472.954	    1511	    1517
 473.515	    1503	    1509
 474.075	    1508	    1508
 474.635	    1516	    1498
 475.196	    1508	    1497
 475.756	    1519	    1505
 476.316	    1506	    1506
 476.877	    1526	    1506
 477.437	    1489	    1487
 477.998	    1499	    1496
 478.558	    1519	    1507
 479.118	    1500	    1505
 479.679	    1517	    1525
 480.239	    1493	    1481
 480.799	    1505	    1496
 481.360	    1526	    1524
 481.920	    1508	    1507
 482.480	    1519	    1501
 483.041	    1513	    1486
 483.601	    1507	    1501
 484.161	    1516	    1526
 484.722	    1518	    1509
 485.282	    1500	    1502
 485.842	    1504	    1498
 486.402	    1504	    1505
 486.963	    1528	    1514
 487.523	    1519	    1493
 488.083	    1528	    1504
 488.644	    1497	    1493
 489.204	    1509	    1504
 489.764	    1531	    1506
 490.324	    1505	    1513
 490.885	    1532	    1500
 491.445	    1510	    1507
 492.005	    1511	    1500
 492.565	    1505	    1501
 493.126	    1497	    1496
 493.686	    1517	    1512
 494.246	    1496	    1513
 494.806	    1510	    1513
 495.367	    1527	    1506
 495.927	    1506	    1506
 496.487	    1502	    1493
 497.047	    1538	    1504
 497.607	    1535	    1539
 498.168	    1631	    1620
