PLE Maps APPLICATION (PLEM)
v1: Tilman Hain; v2: Daniel Zuleeg; v3: Matthias Kastner, v4: Moritz Limbacher

Date of Measurement: 25.07.2025/10:26
User Name: the master of microscopy
File Name: HSI1

Spectrograph Settings
Slit Width (µm): 250.0
Grating: 1250 nm blaze
Filter: Empty
Central Wavelength (nm): 699.99

Detector Settings
Detector: CCD
Cooling Temperature (°C): -70
Exposure Time (s): 5.00
Horizontal Binning: 1x
Wavelength First Pixel (nm): 414.09
Wavelength Last Pixel (nm): 1024.00
Delta Wavelength (nm): 0.557

Nano Stage Settings
x-position: 150.000
y-position: 160.000
z-position: 130.000
switchUD: 1
switchLR: 1

Light Source Settings
NKT System: SuperK Varia (VIS)
Operation: 
Power Level: 0.0%
Short Wavelength (nm): 0
Long Wavelength (nm): 0

Background Measurement with Open Shutter
Readout Mode: Full Vertical Binning

Microscopy:
Laser Position  (x,y): (520,696)
magnification: 83.333


Power at Glass Plate (µW): -0.000065

WL           	BG           	PL           
 414.092	    1503	    1499
 414.653	    1508	    1516
 415.214	    1517	    1530
 415.774	    1514	    1522
 416.335	    1511	    1520
 416.896	    1506	    1520
 417.457	    1503	    1513
 418.017	    1503	    1533
 418.578	    1533	    1512
 419.139	    1495	    1527
 419.700	    1522	    1509
 420.260	    1505	    1504
 420.821	    1521	    1510
 421.382	    1511	    1510
 421.942	    1516	    1492
 422.503	    1504	    1499
 423.064	    1519	    1509
 423.625	    1494	    1522
 424.185	    1511	    1522
 424.746	    1519	    1511
 425.307	    1517	    1512
 425.867	    1513	    1521
 426.428	    1508	    1517
 426.989	    1523	    1512
 427.549	    1499	    1511
 428.110	    1515	    1510
 428.671	    1506	    1512
 429.232	    1507	    1509
 429.792	    1503	    1516
 430.353	    1514	    1529
 430.914	    1522	    1520
 431.474	    1492	    1510
 432.035	    1499	    1522
 432.596	    1517	    1507
 433.156	    1502	    1516
 433.717	    1530	    1504
 434.278	    1505	    1518
 434.838	    1517	    1507
 435.399	    1527	    1501
 435.960	    1501	    1517
 436.520	    1507	    1508
 437.081	    1519	    1514
 437.641	    1510	    1512
 438.202	    1507	    1491
 438.763	    1503	    1496
 439.323	    1516	    1512
 439.884	    1506	    1520
 440.445	    1501	    1521
 441.005	    1505	    1503
 441.566	    1513	    1521
 442.126	    1519	    1531
 442.687	    1510	    1511
 443.248	    1507	    1524
 443.808	    1514	    1523
 444.369	    1496	    1524
 444.929	    1515	    1526
 445.490	    1503	    1509
 446.051	    1501	    1520
 446.611	    1501	    1507
 447.172	    1509	    1503
 447.732	    1521	    1507
 448.293	    1492	    1507
 448.853	    1517	    1536
 449.414	    1507	    1513
 449.975	    1504	    1520
 450.535	    1520	    1508
 451.096	    1526	    1510
 451.656	    1500	    1522
 452.217	    1522	    1520
 452.777	    1518	    1510
 453.338	    1515	    1510
 453.898	    1498	    1514
 454.459	    1502	    1519
 455.019	    1529	    1519
 455.580	    1511	    1526
 456.140	    1520	    1519
 456.701	    1518	    1492
 457.261	    1504	    1513
 457.822	    1501	    1509
 458.382	    1504	    1515
 458.943	    1517	    1528
 459.503	    1497	    1496
 460.064	    1509	    1515
 460.624	    1507	    1492
 461.185	    1500	    1504
 461.745	    1511	    1509
 462.306	    1515	    1519
 462.866	    1512	    1499
 463.427	    1509	    1523
 463.987	    1506	    1503
 464.548	    1515	    1496
 465.108	    1510	    1499
 465.669	    1515	    1518
 466.229	    1525	    1531
 466.790	    1505	    1512
 467.350	    1517	    1514
 467.910	    1493	    1521
 468.471	    1511	    1518
 469.031	    1515	    1517
 469.592	    1503	    1521
 470.152	    1497	    1499
 470.713	    1508	    1518
 471.273	    1514	    1530
 471.833	    1513	    1505
 472.394	    1510	    1515
 472.954	    1511	    1521
 473.515	    1503	    1513
 474.075	    1508	    1525
 474.635	    1516	    1523
 475.196	    1508	    1511
 475.756	    1519	    1506
 476.316	    1506	    1523
 476.877	    1526	    1524
 477.437	    1489	    1495
 477.998	    1499	    1514
 478.558	    1519	    1520
 479.118	    1500	    1517
 479.679	    1517	    1530
 480.239	    1493	    1512
 480.799	    1505	    1501
 481.360	    1526	    1507
